,Input Date,Object X ID,OEM Company,Product/Category,Level,Position Title,Hours,Years Exp High,Years Exp Low,Quoted Rate High,Quoted Rate Low,CEP Provided Rate High,CEP Provided Rate Low,Deal Total,Country,City/State,Currency Notes,Document Name,Database Practice
9628,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Project Manager / Sr Analyst,,,6.0,,205.0,240.0,195.0,,USA,,,,Services
15278,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Developer / Engieer,,,,,150.0,165.0,125.0,,USA,,,,Services
19436,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Data Scientist / Industry Expert / Practice Leader,,,10.0,,300.0,320.0,265.0,,USA,,,,Services
3854,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Strategy Architect / Program Manager,,,8.0,,250.0,290.0,235.0,,USA,,,,Services
25023,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Analyst I,,4.0,2.0,,180.0,200.0,175.0,,USA,,,,Services
17942,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Developer II / Technical Analyst II,,,3.0,,190.0,220.0,185.0,,USA,,,,Services
6747,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Senior Executive,,25.0,13.0,,400.0,450.0,350.0,,USA,,,,Services
5765,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,SME / Industry Expert / Practice Leader,,,10.0,,300.0,325.0,250.0,,USA,,,,Services
5764,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,SME / Industry Expert / Practice Leader,,15.0,10.0,,275.0,300.0,245.0,,USA,,,,Services
5767,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,SME / Industry Expert / Practice Leader,,15.0,8.0,,400.0,400.0,300.0,,USA,,,,Services
25020,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Analyst II,,,4.0,,250.0,265.0,200.0,,USA,,,,Services
25019,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Analyst II,,,4.0,,190.0,220.0,185.0,,USA,,,,Services
5763,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,SME / Industry Expert / Practice Leader,,15.0,8.0,,275.0,300.0,245.0,,USA,,,,Services
23297,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Business / Functional Analyst / Marketing Analyst,,2.0,1.0,,180.0,200.0,175.0,,USA,,,,Services
6752,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Senior Executive,,25.0,13.0,,500.0,550.0,375.0,,USA,,,,Services
10520,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Program Manager / Senior Lead,,,10.0,,225.0,270.0,215.0,,USA,,,,Services
6751,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Senior Executive,,25.0,13.0,,400.0,450.0,350.0,,USA,,,,Services
10521,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Program Manager / Senior Lead,,,10.0,,225.0,270.0,215.0,,USA,,,,Services
5766,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,SME / Industry Expert / Practice Leader,,,10.0,,300.0,325.0,265.0,,USA,,,,Services
6750,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Senior Executive,,25.0,13.0,,400.0,450.0,350.0,,USA,,,,Services
25018,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Analyst II,,,3.0,,190.0,220.0,185.0,,USA,,,,Services
6749,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Senior Executive,,25.0,13.0,,400.0,450.0,350.0,,USA,,,,Services
6748,2018-06-20,a1t2J000005OH32QAG,Salesforce,,,Senior Executive,,25.0,13.0,,400.0,450.0,350.0,,USA,,,,Services
9110,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,QA Project Manager,,,,275.0,225.0,305.0,225.0,,USA,,,,Services
8917,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,Quintiq Specialist,,,,225.0,225.0,245.0,200.0,,USA,,,,Services
9319,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,QA Business Consultant,,,,275.0,225.0,265.0,215.0,,USA,,,,Services
22914,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,Business Consultant,,,,250.0,225.0,245.0,200.0,,USA,,,,Services
17450,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,Directors,,,,312.5,225.0,380.0,355.0,,USA,,,,Services
4533,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,QA Technical Consultant,,,,275.0,225.0,265.0,215.0,,USA,,,,Services
9109,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,QA Quintiq Specialist,,,,275.0,225.0,265.0,215.0,,USA,,,,Services
9463,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,QA Algorithm Expert,,,,275.0,225.0,265.0,215.0,,USA,,,,Services
9777,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,Project Manager,,,,250.0,225.0,285.0,220.0,,USA,,,,Services
4528,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,Technical Consultant,,,,225.0,225.0,245.0,200.0,,USA,,,,Services
25203,2018-05-29,a1t2J000005OXyZQAW,,QuintIQ,,Algorithm Expert ,,,,250.0,225.0,245.0,200.0,,USA,,,,Services
11343,2018-11-02,a1t2J000005OXyaQAG,,,,Practice/Tech Manager,,,,,297.5625,317.40000000000003,257.8875,,USA,,,,Services
10245,2018-11-02,a1t2J000005OXybQAG,,,,Project Management,,,,,362.5,400.0,345.0,,USA,,,,Services
17461,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Director Remote,,,,,142.96875,152.504,123.9095,,India,,,,Services
18613,2018-11-02,a1t2J000005OXybQAG,,,,Design Services,,,,,362.5,400.0,345.0,,USA,,,,Services
11233,2018-11-02,a1t2J000005OXyaQAG,,,,Principal Consultant,,,,,241.5,257.6,209.3,,USA,,,,Services
3851,2018-11-02,a1t2J000005OXybQAG,,,,"Strategy, Architecture, and Expert Services",,,,,460.0,480.0,420.0,,USA,,,,Services
22135,2018-11-02,a1t2J000005OXybQAG,,,,Coaching and Performance Support,,,,,362.5,400.0,345.0,,USA,,,,Services
11348,2018-11-02,a1t2J000005OXyaQAG,,,,Practice/Tech Director,,,,,345.0,368.0,299.0,,USA,,,,Services
16860,2018-11-02,a1t2J000005OXybQAG,,,,Execution Support Services,,,,,175.0,215.0,150.0,,USA,,,,Services
8958,2018-11-02,a1t2J000005OXybQAG,,,,Quality Assurance Support,,,,,290.0,320.0,255.0,,USA,,,,Services
16862,2018-11-02,a1t2J000005OXybQAG,,,,Execution Services,,,,,290.0,320.0,255.0,,USA,,,,Services
13502,2018-11-02,a1t2J000005OXyaQAG,,,,Managing Principal Consultant,,,,,276.0,294.40000000000003,239.20000000000002,,USA,,,,Services
6797,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Senior Director Remote,,,,,152.34375,162.50400000000002,132.0345,,India,,,,Services
10234,2018-11-02,a1t2J000005OXybQAG,,,,Project Management Support,,,,,290.0,320.0,255.0,,USA,,,,Services
8969,2018-11-02,a1t2J000005OXybQAG,,,,Quality Assurance Review,,,,,362.5,400.0,345.0,,USA,,,,Services
11187,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Principal Remote,,,,,60.1875,64.0,52.0,,India,,,,Services
8991,2018-11-02,a1t2J000005OXybQAG,,,,Quality Assurance Consulting and Management,,,,,460.0,480.0,420.0,,USA,,,,Services
10236,2018-11-02,a1t2J000005OXybQAG,,,,Project Management Office Support,,,,,175.0,215.0,150.0,,USA,,,,Services
7151,2018-11-02,a1t2J000005OXyaQAG,,,,Senior Consultant,,,,,198.375,211.60000000000002,171.925,,USA,,,,Services
4057,2018-11-02,a1t2J000005OXyaQAG,,,,Staff Consultant,,,,,172.5,184.0,149.5,,USA,,,,Services
17351,2018-11-02,a1t2J000005OXybQAG,,,,End User Services Support,,,,,290.0,320.0,255.0,,USA,,,,Services
7602,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Sen Prin Remote,,,,,82.03125,87.2,70.85000000000001,,India,,,,Services
7961,2018-11-02,a1t2J000005OXybQAG,,,,"SDC Strategy, Architecture, and Expert Services",,,,,150.0,150.0,112.5,,India,,,,Services
22806,2018-11-02,a1t2J000005OXybQAG,,,,Business Transformation Services,,,,,460.0,480.0,420.0,,USA,,,,Services
6391,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Senior Remote,,,,,45.84375,48.800000000000004,39.65,,India,,,,Services
22634,2018-11-02,a1t2J000005OXybQAG,,,,Change Management Delivery,,,,,362.5,400.0,345.0,,USA,,,,Services
23906,2018-11-02,a1t2J000005OXyaQAG,,,,Associate Consultant,,,,,129.375,138.0,112.125,,USA,,,,Services
7983,2018-11-02,a1t2J000005OXybQAG,,,,SDC Execution Support Services,,,,,56.25,60.0,43.75,,India,,,,Services
7984,2018-11-02,a1t2J000005OXybQAG,,,,SDC Execution Support Services,,,,,56.25,60.0,43.75,,India,,,,Services
7982,2018-11-02,a1t2J000005OXybQAG,,,,SDC Functional and Technical Lead Services,,,,,105.0,110.0,75.0,,India,,,,Services
7981,2018-11-02,a1t2J000005OXybQAG,,,,SDC Global Architecture and Strategy Services,,,,,200.0,200.0,150.0,,India,,,,Services
7980,2018-11-02,a1t2J000005OXybQAG,,,,SDC Global Expert Services,,,,,200.0,200.0,150.0,,India,,,,Services
7969,2018-11-02,a1t2J000005OXybQAG,,,,SDC Program Management,,,,,150.0,150.0,112.5,,India,,,,Services
7967,2018-11-02,a1t2J000005OXybQAG,,,,SDC Project Management,,,,,105.0,110.0,75.0,,India,,,,Services
7966,2018-11-02,a1t2J000005OXybQAG,,,,SDC Project Management Office Support,,,,,56.25,60.0,43.75,,India,,,,Services
4291,2018-11-02,a1t2J000005OXyaQAG,,,,Sr. Practice/Tech Director,,,,,379.5,404.8,328.90000000000003,,USA,,,,Services
3997,2018-11-02,a1t2J000005OXybQAG,,,,Standardized Execution Services,,,,,175.0,215.0,150.0,,USA,,,,Services
3079,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Tech Mgr Remote,,,,,104.8125,111.2,90.35000000000001,,India,,,,Services
10786,2018-11-02,a1t2J000005OXybQAG,,,,Program Management,,,,,460.0,480.0,420.0,,USA,,,,Services
8891,2018-11-02,a1t2J000005OXyaQAG,,,,Regional Vice-President,,,,,396.75,423.20000000000005,343.85,,USA,,,,Services
16309,2018-11-02,a1t2J000005OXybQAG,,,,Global Architecture and Strategy Services,,,,,475.0,500.0,437.0,,USA,,,,Services
3996,2018-11-02,a1t2J000005OXybQAG,,,,Standardized Execution Support Services,,,,,80.0,115.0,75.0,,USA,,,,Services
6555,2018-11-02,a1t2J000005OXyaQAG,,,,Senior Principal Consultant,,,,,276.0,294.40000000000003,239.20000000000002,,USA,,,,Services
7987,2018-11-02,a1t2J000005OXybQAG,,,,SDC Design Services,,,,,105.0,110.0,75.0,,India,,,,Services
4048,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Staff Remote,,,,,39.9375,42.400000000000006,34.45,,India,,,,Services
16301,2018-11-02,a1t2J000005OXybQAG,,,,Global Expert Services,,,,,475.0,500.0,437.0,,USA,,,,Services
16532,2018-11-02,a1t2J000005OXybQAG,,,,Functional and Technical Lead Services,,,,,362.5,400.0,345.0,,USA,,,,Services
7965,2018-11-02,a1t2J000005OXybQAG,,,,SDC Project Management Support,,,,,76.25,80.0,65.0,,India,,,,Services
7963,2018-11-02,a1t2J000005OXybQAG,,,,SDC SAP Cloud Lead Services,,,,,76.25,80.0,65.0,,India,,,,Services
7962,2018-11-02,a1t2J000005OXybQAG,,,,SDC Standardized Execution Support Services,,,,,48.75,50.0,35.0,,India,,,,Services
23832,2018-11-02,a1t2J000005OXyaQAG,,GSD APPS,,Associate Remote,,,,,33.09375,35.2,28.6,,India,,,,Services
7985,2018-11-02,a1t2J000005OXybQAG,,,,SDC Execution Services,,,,,76.25,80.0,65.0,,India,,,,Services
8456,2018-11-02,a1t2J000005OXybQAG,SAP,,,SAP Cloud Lead Services,,,,,290.0,320.0,255.0,,USA,,,,Services
7137,2018-05-21,a1t2J000005OHrDQAW,,Single Sign On,,Senior Consultant,,,,,225.0,230.0,200.0,,USA,,,,Services
9778,2018-05-29,a1t2J000005OXycQAG,,,,Project Manager,,,,404.0,289.0,,,,USA,,,,Services
16829,2018-05-29,a1t2J000005OXycQAG,,,,Expert Consultant,,,,462.0,347.0,,,,USA,,,,Services
17358,2018-05-29,a1t2J000005OXycQAG,,,,ELM India,,,,173.0,111.0,,,,India,,,,Services
21732,2018-05-29,a1t2J000005OXycQAG,,,,Consultant,,,,303.0,234.0,,,,USA,,,,Services
7138,2018-05-29,a1t2J000005OXycQAG,,,,Senior Consultant,,,,347.0,266.0,,,,USA,,,,Services
22923,2018-05-25,a1t2J000005OXydQAG,,,,Business Automation Senior Consultant,,,,,275.0,285.0,230.0,,USA,,,,Services
22924,2018-05-25,a1t2J000005OXydQAG,,,,Business Automation Architect,,,,,310.0,325.0,265.0,,USA,,,,Services
13204,2018-05-25,a1t2J000005OXydQAG,,,,Middleware Project Manager,,,,,230.0,260.0,200.0,,USA,,,,Services
24080,2018-05-25,a1t2J000005OXyjQAG,,AppDynamics,,Architect (onsite),,,,,375.0,400.0,250.0,,USA,,,,Services
7092,2018-05-25,a1t2J000005OXyjQAG,,AppDynamics,,Senior Consultant (onsite),,,,,300.0,315.0,185.0,,USA,,,,Services
4815,2018-05-30,a1t2J000005OXykQAG,,,,Sr Developer,,,,,185.0,,,,USA,,,,Services
3858,2018-05-30,a1t2J000005OXykQAG,,,,Strategist,,,,,185.0,,,,USA,,,,Services
9779,2018-05-30,a1t2J000005OXykQAG,,,,Project Manager,,,,,150.0,,,,USA,,,,Services
23030,2018-05-30,a1t2J000005OXykQAG,,,,Business Analyst,,,,,125.0,,,,USA,,,,Services
2827,2018-05-30,a1t2J000005OXykQAG,,,,Technical Architect/Lead Developer,,,,,185.0,,,,USA,,,,Services
1248,2018-05-30,a1t2J000005OXykQAG,,,,Trainer,,,,,135.0,,,,USA,,,,Services
18092,2018-05-30,a1t2J000005OXykQAG,,,,Developer,,,,,150.0,,,,USA,,,,Services
9474,2018-05-30,a1t2J000005OXykQAG,,,,QA,,,,,135.0,,,,USA,,,,Services
4687,2018-05-30,a1t2J000005OXykQAG,,,,Sr Strategist,,,,,250.0,,,,USA,,,,Services
2948,2018-05-30,a1t2J000005OXykQAG,,,,Technical Analyst,,,,,150.0,,,,USA,,,,Services
4876,2018-05-30,a1t2J000005OXykQAG,,,,Sr Business Analyst,,,,,150.0,,,,USA,,,,Services
13370,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Production Specialist - T&M,,,,,111.54,150.0,100.0,,USA,,,,Services
13378,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Campaign Manager - T&M,,,,,148.98,200.0,145.0,,USA,,,,Services
13373,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Designer - T&M,,,,,145.14,200.0,145.0,,USA,,,,Services
13374,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Deployment Specialist - T&M,,,,,111.54,150.0,100.0,,USA,,,,Services
13377,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Campaign QA Specialist - T&M,,,,,111.54,150.0,100.0,,USA,,,,Services
13369,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Program Manager - T&M,,,,,180.18,325.0,240.0,,USA,,,,Services
13375,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Deliverability Consultant - T&M,,,,,174.9,240.0,156.0,,USA,,,,Services
13366,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Project Manager - T&M,,,,,161.07,265.0,200.0,,USA,,,,Services
13361,2018-05-29,a1t2J000005OI4fQAG,,Marketing Cloud,,MC - Technical QA Specialist - T&M,,,,,161.07,165.0,140.0,,USA,,,,Services
14209,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Standard,,Lead Developer,,9.0,7.0,,30.0,35.0,24.0,,India,,,,Services
9026,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Architect,,,10.0,,100.0,,,,USA,,,,Services
7331,2018-05-31,a1t2J000005OHE5QAO,,Business Analysis,,Senior Business Analyst,,8.0,5.0,,26.0,32.0,25.0,,India,,,,Services
9025,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Engineer,,3.0,1.0,,24.0,30.0,22.0,,India,,,,Services
9024,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Engineer,,3.0,1.0,,78.0,,,,USA,,,,Services
6909,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Standard,,Senior Developer,,6.0,4.0,,26.0,32.0,22.0,,India,,,,Services
6910,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Senior Developer,,8.0,5.0,,27.0,34.0,24.0,,India,,,,Services
6911,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Niche,,Senior Developer,,8.0,5.0,,28.0,35.0,24.0,,India,,,,Services
6912,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Senior Developer,,8.0,4.0,,29.0,34.0,24.0,,India,,,,Services
6536,2018-05-31,a1t2J000005OHE5QAO,,Program Management,,Senior Program Manager,,,15.0,,45.0,55.0,40.0,,India,,,,Services
6913,2018-05-31,a1t2J000005OHE5QAO,,Mobility,,Senior Developer,,6.0,4.0,,29.0,34.0,26.0,,India,,,,Services
6914,2018-05-31,a1t2J000005OHE5QAO,,Big Data,,Senior Developer,,8.0,5.0,,29.0,35.0,28.0,,India,,,,Services
6915,2018-05-31,a1t2J000005OHE5QAO,,Cloud Ops,,Senior Developer,,8.0,5.0,,31.0,45.0,30.0,,India,,,,Services
6916,2018-05-31,a1t2J000005OHE5QAO,,Infrastructure,,Senior Developer,,8.0,5.0,,32.0,32.0,22.0,,India,,,,Services
6917,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Agile/Scrum,,Senior Developer,,8.0,5.0,,33.0,35.0,28.0,,India,,,,Services
1723,2018-05-31,a1t2J000005OHE5QAO,,Manual Testing,,Tester,,3.0,1.0,,22.0,27.0,18.0,,India,,,,Services
10091,2018-05-31,a1t2J000005OHE5QAO,,Project Management,,Project Manager,,10.0,8.0,,27.0,31.0,26.0,,India,,,,Services
6908,2018-05-31,a1t2J000005OHE5QAO,,Engineering Process Management & Integrated System of Record,,Senior Developer,,8.0,5.0,,25.0,34.0,24.0,,India,,,,Services
6907,2018-05-31,a1t2J000005OHE5QAO,,UI / UX Design,,Senior Developer,,6.0,4.0,,24.0,32.0,22.0,,India,,,,Services
10669,2018-05-31,a1t2J000005OHE5QAO,,Program Management,,Program Manager,,15.0,12.0,,125.0,,,,USA,,,,Services
1826,2018-05-31,a1t2J000005OHE5QAO,,Manual Testing,,Test Manager,,,10.0,,92.0,,,,USA,,,,Services
6873,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Standard,,Senior Developer,,6.0,4.0,,85.0,,,,USA,,,,Services
6876,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Senior Developer,,8.0,5.0,,95.0,,,,USA,,,,Services
6877,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Senior Developer,,8.0,4.0,,95.0,,,,USA,,,,Services
6878,2018-05-31,a1t2J000005OHE5QAO,,UI / UX Design,,Senior Developer,,6.0,4.0,,95.0,,,,USA,,,,Services
6879,2018-05-31,a1t2J000005OHE5QAO,,Mobility,,Senior Developer,,6.0,4.0,,105.0,,,,USA,,,,Services
6880,2018-05-31,a1t2J000005OHE5QAO,,Cloud Ops,,Senior Developer,,8.0,5.0,,115.0,,,,USA,,,,Services
1919,2018-05-31,a1t2J000005OHE5QAO,,Manual Testing,,Test Lead,,10.0,7.0,,26.0,32.0,22.0,,India,,,,Services
6881,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Niche,,Senior Developer,,8.0,5.0,,115.0,,,,USA,,,,Services
6882,2018-05-31,a1t2J000005OHE5QAO,,Big Data,,Senior Developer,,8.0,5.0,,125.0,,,,USA,,,,Services
6883,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Agile/Scrum,,Senior Developer,,8.0,5.0,,135.0,,,,USA,,,,Services
16971,2018-05-31,a1t2J000005OHE5QAO,,System / Technology Architecture,,Enterprise Architext,,,14.0,,175.0,,,,USA,,,,Services
16972,2018-05-31,a1t2J000005OHE5QAO,,System / Technology Architecture,,Enterprise Architext,,,14.0,,45.0,50.0,35.0,,India,,,,Services
1857,2018-05-31,a1t2J000005OHE5QAO,,Manual Testing,,Test Lead,,10.0,7.0,,81.0,,,,USA,,,,Services
10753,2018-05-31,a1t2J000005OHE5QAO,,Program Management,,Program Manager,,15.0,12.0,,40.0,45.0,35.0,,India,,,,Services
9027,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Architect,,,10.0,,31.0,42.0,28.0,,India,,,,Services
1836,2018-05-31,a1t2J000005OHE5QAO,,Manual Testing,,Test Manager,,,10.0,,28.0,35.0,24.0,,India,,,,Services
6528,2018-05-31,a1t2J000005OHE5QAO,,Program Management,,Senior Program Manager,,,15.0,,150.0,,,,USA,,,,Services
7295,2018-05-31,a1t2J000005OHE5QAO,,Business Analysis,,Senior Business Analyst,,8.0,5.0,,90.0,,,,USA,,,,Services
8887,2018-05-31,a1t2J000005OHE5QAO,,Regulatory,,Regulatory SME,,10.0,8.0,,135.0,,,,USA,,,,Services
2889,2018-05-31,a1t2J000005OHE5QAO,,System / Technology Architecture,,Technical Architect,,10.0,8.0,,115.0,,,,USA,,,,Services
8888,2018-05-31,a1t2J000005OHE5QAO,,Regulatory,,Regulatory SME,,10.0,8.0,,32.0,42.0,30.0,,India,,,2019 02 11 Cognizant AVM Support 2019 SOW (DF 2-11-19),Services
18099,2018-05-31,a1t2J000005OHE5QAO,,Mobility,,Developer,,3.0,1.0,,95.0,,,,USA,,,,Services
18100,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Niche,,Developer,,4.0,1.0,,95.0,,,,USA,,,,Services
18101,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Agile/Scrum,,Developer,,4.0,1.0,,100.0,,,,USA,,,,Services
18102,2018-05-31,a1t2J000005OHE5QAO,,Big Data,,Developer,,4.0,1.0,,105.0,,,,USA,,,,Services
18103,2018-05-31,a1t2J000005OHE5QAO,,Cloud Ops,,Developer,,4.0,1.0,,105.0,,,,USA,,,,Services
18238,2018-05-31,a1t2J000005OHE5QAO,,UI / UX Design,,Developer,,3.0,1.0,,22.0,30.0,20.0,,India,,,,Services
18239,2018-05-31,a1t2J000005OHE5QAO,,Engineering Process Management & Integrated System of Record,,Developer,,4.0,1.0,,23.0,32.0,22.0,,India,,,,Services
9018,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Sr Engineer,,6.0,4.0,,26.0,32.0,24.0,,India,,,,Services
18240,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Niche,,Developer,,4.0,1.0,,24.0,30.0,21.0,,India,,,,Services
9017,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Sr Engineer,,6.0,4.0,,82.0,,,,USA,,,,Services
18241,2018-05-31,a1t2J000005OHE5QAO,,Infrastructure,,Developer,,4.0,1.0,,26.0,28.0,18.0,,India,,,,Services
18242,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Developer,,4.0,1.0,,26.0,32.0,22.0,,India,,,,Services
18243,2018-05-31,a1t2J000005OHE5QAO,,Mobility,,Developer,,3.0,1.0,,26.0,32.0,24.0,,India,,,,Services
18244,2018-05-31,a1t2J000005OHE5QAO,,Cloud Ops,,Developer,,4.0,1.0,,26.0,35.0,25.0,,India,,,,Services
18245,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Agile/Scrum,,Developer,,4.0,1.0,,26.0,32.0,25.0,,India,,,,Services
18246,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Developer,,4.0,1.0,,27.0,32.0,22.0,,India,,,,Services
18247,2018-05-31,a1t2J000005OHE5QAO,,Big Data,,Developer,,4.0,1.0,,27.0,34.0,26.0,,India,,,,Services
18098,2018-05-31,a1t2J000005OHE5QAO,,UI / UX Design,,Developer,,3.0,1.0,,85.0,,,,USA,,,,Services
18097,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Developer,,4.0,1.0,,85.0,,,,USA,,,,Services
18096,2018-05-31,a1t2J000005OHE5QAO,,New Product Development,,Developer,,4.0,1.0,,85.0,,,,USA,,,,Services
18095,2018-05-31,a1t2J000005OHE5QAO,,Engineering Process Management & Integrated System of Record,,Developer,,4.0,1.0,,85.0,,,,USA,,,,Services
1656,2018-05-31,a1t2J000005OHE5QAO,,Manual Testing,,Tester,,3.0,1.0,,70.0,,,,USA,,,,Services
9780,2018-05-31,a1t2J000005OHE5QAO,,Project Management,,Project Manager,,10.0,8.0,,100.0,,,,USA,,,,Services
21200,2018-05-31,a1t2J000005OHE5QAO,,Cyber Security,,Cyber Security Sme,,,10.0,,38.0,45.0,32.0,,India,,,,Services
21199,2018-05-31,a1t2J000005OHE5QAO,,Cyber Security,,Cyber Security Sme,,,10.0,,140.0,,,,USA,,,,Services
11663,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Sr Engineer,,6.0,4.0,,82.0,,,,USA,,,,Services
11664,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Sr Engineer,,6.0,4.0,,26.0,32.0,24.0,,India,,,,Services
2925,2018-05-31,a1t2J000005OHE5QAO,,System / Technology Architecture,,Technical Architect,,10.0,8.0,,30.0,34.0,28.0,,India,,,,Services
11670,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Lead,,10.0,7.0,,87.0,,,,USA,,,,Services
14198,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Standard,,Lead Developer,,9.0,7.0,,95.0,,,,USA,,,,Services
6875,2018-05-31,a1t2J000005OHE5QAO,,Engineering Process Management & Integrated System of Record,,Senior Developer,,8.0,5.0,,95.0,,,,USA,,,,Services
11680,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Engineer,,3.0,1.0,,78.0,,,,USA,,,,Services
9021,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Lead,,10.0,7.0,,29.0,38.0,26.0,,India,,,,Services
11690,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Engineer,,3.0,1.0,,24.0,30.0,22.0,,India,,,,Services
11703,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Architect,,,10.0,,100.0,,,,USA,,,,Services
11709,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Architect,,,10.0,,31.0,42.0,28.0,,India,,,,Services
18093,2018-05-31,a1t2J000005OHE5QAO,,SW Development - Standard,,Developer,,3.0,1.0,,73.0,,,,USA,,,,Services
18094,2018-05-31,a1t2J000005OHE5QAO,,Infrastructure,,Developer,,4.0,1.0,,75.0,,,,USA,,,,Services
9020,2018-05-31,a1t2J000005OHE5QAO,,Automation / Quality Enginners (SDET) / Mobile Testers and Mobile Automation Testers,,QE Lead,,10.0,7.0,,87.0,,,,USA,,,,Services
11672,2018-05-31,a1t2J000005OHE5QAO,,Performance Testing,,Performance Lead,,10.0,7.0,,29.0,38.0,26.0,,India,,,,Services
